#,Menu_Item,SKU,Location,Category,Ingredients,Description,Price,Image,Order Online
72,"Grilled Pork Chop, Grilled Chicken, Crab Cake and Fried Egg on Rice",RD09,Orillia,RICE DISH,,"A flavorful combination of marinated grilled pork chop, juicy grilled chicken, a delicate crab cake, and a perfectly fried egg, served with steamed rice, Vietnamese pickles, fresh salad, cucumbers, and a side of fish sauce",$23.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/5/item-1300000000044376525_1729585344.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-chop-grilled-chicken-crab-cake-and-fried-egg-on-rice_1ea42ede-89fe-4940-a6e1-2304c48dad6a
73,Grilled Beef Ribs on Rice,RD04,Orillia,RICE DISH,,"Juicy, marinated beef ribs topped with scallion oil, served with steamed rice, Vietnamese pickles, fresh salad, cucumbers, and fish sauce,",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/5/item-1300000000044376515_1729585111.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-beef-ribs-on-rice_ef78d64f-8545-47d0-b12c-2df0cc55b108
74,"Grilled Chicken, Grilled Beef and Crab Cake on Rice",RD08,Orillia,RICE DISH,,"A tasty trio of juicy grilled chicken, tender grilled beef, and a delicate crab cake, served with steamed rice, Vietnamese pickles, fresh salad, cucumbers, and a side of fish sauce.",$21.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/3/item-1300000000044376523_1729585319.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-chicken-grilled-beef-and-crab-cake-on-rice_1ac0236e-fa08-4d3c-a94f-c597a00260d2
75,Grilled Boneless Chicken on Rice,RD02,Orillia,RICE DISH,,"Juicy, marinated boneless chicken topped with scallion oil, served with steamed rice, Vietnamese daikon and carrot pickles, fresh salad, cucumbers, and a side of fish sauce.",$18.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/1/item-1300000000044376511_1729585127.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-boneless-chicken-on-rice_4cd040e2-901b-4636-a75f-531f0b54ed5b
76,"Grilled Pork Chop, Grilled Chicken and Fried Egg on Rice",RD07,Orillia,RICE DISH,,"A perfect combo of marinated grilled pork chop, juicy grilled chicken, and a fried egg, served with steamed rice, Vietnamese pickles, fresh salad, cucumbers, and a side of fish sauce.",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/1/item-1300000000044376521_1729585298.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-chop-grilled-chicken-and-fried-egg-on-rice_4772cade-a5d7-4ed4-8b41-e6cf9e7bfe95
77,"Grilled Pork Chop, Grilled Chicken, Crab Cake, Shrimp wrapped with Bean Curb and Fried Egg on Rice",RD10,Orillia,RICE DISH,,,$27.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/7/item-1300000000044376527_1729585359.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-chop-grilled-chicken-crab-cake-shrimp-wrapped-with-bean-curb-and-fried-egg-on-rice_f1b3646b-aeeb-430c-9f56-aaed4e19e909
78,Surf n Turf Roll,R03S,Orillia,ROLL,,"2 made-to-order, fresh rice paper rolls filled with shrimp and pork, served with a rich peanut sauce.",$10.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044365266_1729592597.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-surf-n-turf-roll_012ba15d-23f0-4a39-a516-445dfa12b8d8
79,Grilled Chicken Roll,R07S,Orillia,ROLL,,"2 made-to-order, fresh rice paper rolls filled with grilled chicken and aromatic herbs, served with a rich peanut sauce.",$10.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044365274_1729592770.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-chicken-roll_b5dcd6cf-d699-423a-a75b-fc8fafdefb7a
80,Grilled Beef Rolls,R04S,Orillia,ROLL,,"2 made-to-order, fresh rice paper rolls filled with grilled beef and aromatic herbs, served with a rich peanut sauce.",$10.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044365268_1729592638.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-beef-rolls_33b8db9a-1ffa-4ddb-9b4a-575ec2aa0d74
81,Crispy Golden Spring Rolls,R01S,Orillia,ROLL,,"2 Crispy rolls stuffed with seasoned shrimp, pork, carrots, and taro, served with fish sauce.",$8.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044365262_1729592478.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-crispy-golden-spring-rolls_738e1b70-eceb-4736-a021-3e678175bfec
82,Grilled Pork Roll,R05S,Orillia,ROLL,,"2 made-to-order, fresh rice paper rolls filled with grilled pork and aromatic herbs, served with a rich peanut sauce.",$10.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/0/item-1300000000044365270_1729592682.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-roll_399e0ffc-08fd-43f9-9e72-6fba49ee4665
83,Tofu Roll,R06S,Orillia,ROLL,,"2 made-to-order, fresh rice paper rolls filled with cripsy tofu and aromatic herbs, served with a rich peanut sauce.",$10.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044365272_1729592726.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-tofu-roll_0d1fd6d5-4de6-426f-a957-d5bac34f0e8d
84,Shrimp & Herb Fresh Rolls,R02S,Orillia,ROLL,,"2 made-to-order, fresh rice paper rolls filled with shrimp and aromatic herbs, served with a rich peanut sauce.",$10.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044365264_1729592549.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-shrimp-herb-fresh-rolls_a7f165c5-3354-4c4d-ba65-3d11b9801d62
85,Sunrise Savory Combo,,Orillia,SAIGON SKILLET DELIGHT,,"Sizzling hot and made-to-order, this traditional dish features two fried eggs topped with savory tomato sauce, grilled beef, a juicy meatball, Vietnamese sausage, a slice of pâté, and grilled tomatoes. Served with fresh baguette and a crisp side sala",$25.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044371114_1729592333.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-sunrise-savory-combo_db49b8df-17ba-408f-b7a1-a91a53ffffa6
86,Make your own Sizzling Fusion Platter,,Orillia,SAIGON SKILLET DELIGHT,,"Sizzling hot and made-to-order, this classic breakfast comes with two fried eggs, Vietnamese sausage, a slice of pâté, and grilled tomatoes, all served with fresh baguette. Customize your skillet with options like grilled beef, extra eggs, a pork meatball, French fries, or more pâté for a hearty m",$15.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044371116_1729592401.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-make-your-own-sizzling-fusion-platter_2c84470c-3932-4148-978d-645646700f8f
87,Saigon Sunshine Salad with Shrimp Salad,SL01,Orillia,SALAD,,"A refreshing mix of crisp mango, bell peppers, and roasted cashews, tossed in a tangy dressing with your Grilled Shrimp",$17.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044361548_1729592107.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-saigon-sunshine-salad-with-shrimp-salad_762efd3d-bb53-4bad-a850-3dfaa6948a70
88,Saigon Sunshine Salad with Soft-Shell Crab,SL04,Orillia,SALAD,,"Our SAIGON SUNSHINE SALAD is a refreshing mix of crisp mango, bell peppers, and roasted cashews, tossed in a tangy dressing with Soft Shell Crab.",$22.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044362204_1729592282.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-saigon-sunshine-salad-with-softshell-crab_254264fc-99d3-4b86-97f5-6a37b390a679
89,Saigon Sunshine Salad with Grilled Chicken,SL02,Orillia,SALAD,,"Our SAIGON SUNSHINE SALAD is a refreshing mix of crisp mango, bell peppers, and roasted cashews, tossed in a tangy dressing with Grilled chicken.",$17.00 ,,https://order.toasttab.com/online/toronto-pho-orillia/item-saigon-sunshine-salad-with-grilled-chicken_4e89f731-e64c-4eec-8826-95977cbb0a13
90,Saigon Sunshine Salad with Tofu Medley,SL03,Orillia,SALAD,,"Our SAIGON SUNSHINE SALAD is a refreshing mix of crisp mango, bell peppers, and roasted cashews, tossed in a tangy dressing with crispy tofu.",$15.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044362202_1729592227.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-saigon-sunshine-salad-with-tofu-medley_9ad67284-05ba-45c1-a62f-e1b50c004dcd
91,Fish Sauce Chicken Wing,QB03,Orillia,SHAREABLE,,Crispy wings tossed in a sweet and savory fish sauce.,$14.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/1/item-1300000000044364141_1729590165.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-fish-sauce-chicken-wing_bce5f32e-ba04-4a2a-8e96-d5da1e923e1f
92,Deep Fried Shrimp Wonton,QB05,Orillia,SHAREABLE,,"Crispy shrimp-filled wontons, served with creamy mayonnaise for dipping.",$10.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/5/item-1300000000044364145_1729590982.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-deep-fried-shrimp-wonton_5cc8c5f7-51f6-479b-b0bf-1e4d6755e159
93,Honey BBQ Chicken Wing,QB02,Orillia,SHAREABLE,,Crispy wings glazed with a sweet and smoky honey BBQ sauce for a perfect balance of flavor.,$14.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/9/item-1300000000044364139_1729589619.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-honey-bbq-chicken-wing_347ae26b-7180-47d7-acbd-559a5564ea96
94,Signature Chicken Wing,QB01,Orillia,SHAREABLE,,"Signature Chicken wings with a rich, savory flavor. Perfectly golden, they combine the creamy taste of butter with a hint of sweetness and a touch of saltiness in every bite. A mouthwatering delight that melts in your mouth.",$14.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/7/item-1300000000044364137_1729592373.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-signature-chicken-wing_34a45d62-3691-4895-ac54-5e316b648fad
95,Grilled Chicken with Crispy Sticky Rice,QB04,Orillia,SHAREABLE,,"Crispy rice and tender grilled chicken, served with savory fish sauce.",$17.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/3/item-1300000000044364143_1729590822.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-chicken-with-crispy-sticky-rice_42d6e7cd-9427-4cce-8a52-c88901c9c9a8
96,Matcha,225,Orillia,SMOOTHIES,matcha powder / milk / sweetener / ice,,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/7/item-1300000000044383757_1729589513.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-matcha_7c481a41-348c-45c0-bbe9-e87a0d4bd11e
97,Tropical Fruits,250,Orillia,SMOOTHIES,pineapple / mango / coconut milk / bananas / oranges / honey.,,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/1/item-1300000000044383761_1729589732.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-tropical-fruits_60130c03-fa16-4433-bf4a-39dd019d3b07
98,Avocado,222,Orillia,SMOOTHIES,avocado / lime juice / salt / black pepper / garlic / red onion / cilantro.,,$7.25 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/1/item-1300000000044383751_1729589171.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-avocado_c9016267-9190-4f02-acd9-340b9fab8332
99,Mango,220,Orillia,SMOOTHIES," mango, ice, milk, sugar / lime juice, mint leaves",,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/7/item-1300000000044383297_1729588889.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-mango_a348ae8e-b47f-4450-8e4a-3376c0a00cb9
100,Coconut,223,Orillia,SMOOTHIES, coconut milk / shredded coconut / coconut sugar / coconut oil / coconut water.,,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/3/item-1300000000044383753_1729589289.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-coconut_9057eb8a-7c3b-4c51-ae50-1dd379c03ec8
101,Vanilla,224,Orillia,SMOOTHIES,"vanilla beans, alcohol, water, sugar, and optionally glycerin/acid.",,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/5/item-1300000000044383755_1729589400.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-vanilla_0f3b824e-aa08-4bc1-9c7c-4b40665c7850
102,Mango Sunshine,252,Orillia,SMOOTHIES,"mango juice, pineapple juice, coconut milk, agave syrup, and ice.",,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/5/item-1300000000044383765_1729589963.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-mango-sunshine_357f90b8-85ba-4d2b-b245-661e391e9f1c
103,Strawberry,227,Orillia,SMOOTHIES, strawberries / sugar / water / citric acid,,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/9/item-1300000000044383759_1729589613.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-strawberry_f73092f6-56a8-49b5-9e2d-2327b55e2770
104,The Hurricane,253,Orillia,SMOOTHIES,rum/ passion fruit juice/ orange juice/ grenadine/ lime juice,,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/7/item-1300000000044383767_1729590106.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-the-hurricane_ed2079e6-8757-42d8-b63f-9f1692deec5f
105,Stir Fried Rice Noodle withSeafood,SF03,Orillia,STIR FRIED,,"Stir Fried Rice Noodle Delight – squid, shrimp, crab, muscles, fish balls, and veggies on thick rice noodles in a signature sauce. (Note: Seafood availability varies by season",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044381536_1729588380.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-stir-fried-rice-noodle-withseafood_c932820b-7518-42bc-9328-3227c032eefb
106,Beef on Sizzling Plate,,Orillia,STIR FRIED,,"Our signature sizzling platter features succulent pieces of beef cooked to perfection, alongside seasonal vegetables. Served with a side of fluffy steamed white rice for an unforgettable culinary experience!",$22.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044381542_1729588447.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-beef-on-sizzling-plate_091f165f-f974-4a6c-8dbf-9a2992143f76
107,Stir Fried Rice Noodle with Beef,SF04,Orillia,STIR FRIED,,"Our Stir Fried Rice Noodle with Beef is a savory, satisfying dish. Succulent beef mixed in savoury stir fry sauce and combined with crunchy seasonal vegetables - including baby corn on top of thick cut flat rice noodles – makes it unforgettabl",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044381538_1729588399.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-stir-fried-rice-noodle-with-beef_17175752-2fb3-46fc-9958-728aa00931ef
108,Stir Fried Crispy Egg Noodle with Seafood,SF01,Orillia,STIR FRIED,,"a dish that's sure to tantalize your taste buds! Each mouthwatering bite comes packed full of flavor and spice, thanks to our house-made secret Pad Thai sauce. We start with a bed of chewy rice noodles, crunchy fried tofu bites and sautéed white onions before topping it all off with crushed peanuts for added texture and deliciousness",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044381532_1729588349.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-stir-fried-crispy-egg-noodle-with-seafood_693afe4f-a280-4626-881c-91c9fdb799e2
109,Shrimp on Sizzling Plate,,Orillia,STIR FRIED,,"Dig into our mouth-watering dish of succulent shrimp and fresh seasonal veggies. Served hot off the wok atop a sizzling plate, this tantalizing offering is accompanied by delicate steamed white rice to complete your meal experience!",$22.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/0/item-1300000000044381540_1729588428.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-shrimp-on-sizzling-plate_42a898a9-84cd-49b1-af85-82554cca1e62
110,Stir Fried Crispy Egg Noodle with Meat and Seafood,SF02,Orillia,STIR FRIED,,"Dig into our delicious wok-tossed noodle dish and savor each mouthwatering bite! Succulent pieces of beef, chicken, pork and shrimp team up with sweet mussels, flavorful imitation crabmeat and bouncy fish balls to create a flavor sensation. Complemented by a colorful selection of seasonal vegetables including baby corn for crunchy perfection - this delectable entree is guaranteed to please your palate every time!*Seasonal seafood ingredients so vary; availability subject to change.",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044381534_1729588367.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-stir-fried-crispy-egg-noodle-with-meat-and-seafood_a768c546-f09d-4d30-ab4d-40c9947e566e
111,Grilled Chicken on Vermicelli,VM01A,Orillia,VERMICELLI,,,$18.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044379366_1729586957.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-chicken-on-vermicelli_c3b715a1-4ac1-4d29-b4d2-025dfb5639f3
112,Grilled Beef and Spring Roll on Vermicelli,VM04B,Orillia,VERMICELLI,,"Tender grilled beef paired with a crispy spring roll, served over vermicelli rice noodles with fresh herbs, Vietnamese pickled daikon and carrots, crisp lettuce, and a side of fish sauce",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044379386_1729587180.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-beef-and-spring-roll-on-vermicelli_27ce652f-1474-48d2-9164-4850ac84daaa
113,Grilled Beef on Vermicelli,VM04A,Orillia,VERMICELLI,,"Treat yourself to a delicious plate of our marinated grilled beef and savory vermicelli rice noodles. Accented with crisp, refreshing herbs, pickled veggies, and lettuce for the perfect balance in flavor",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044379384_1729587161.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-beef-on-vermicelli_2877d040-c1dc-4d57-b209-fe5fbecdad2f
114,Grilled Shrimp and Spring Roll on Vermicelli,VM03B,Orillia,VERMICELLI,,"Juicy grilled shrimp and a crispy spring roll served over vermicelli rice noodles with fresh herbs, Vietnamese pickled daikon and carrots, crisp lettuce, and a side of fish sauce.",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/0/item-1300000000044379380_1729587126.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-shrimp-and-spring-roll-on-vermicelli_9f031eb7-a107-47e8-8f44-95313e3ce23c
115,Grilled Beef and Shrimp on Sugar Cane on Vermicelli,VM04C,Orillia,VERMICELLI,,"Tender grilled beef paired with juicy Vietnamese shrimp on sugar cane, served over vermicelli rice noodles with fresh herbs, Vietnamese pickled daikon and carrots, crisp lettuce, and a side of fish sauce.",$21.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044379388_1729587200.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-beef-and-shrimp-on-sugar-cane-on-vermicelli_a5b7cdaa-a330-4077-9ac8-c5896153388d
116,Grilled Shrimp and Shrimp on Sugar Cane on Vermicelli,VM03C,Orillia,VERMICELLI,,"Savor perfectly grilled shrimp alongside juicy Vietnamese shrimp on sugar cane, all served over vermicelli rice noodles with fresh herbs, Vietnamese pickled daikon and carrots, crisp lettuce, and a side of fish sauce",$20.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044379382_1729587143.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-shrimp-and-shrimp-on-sugar-cane-on-vermicelli_98e3cbc0-e247-401e-b240-a14d0e9484db
117,Grilled Shrimp on Vermicelli,VM03A,Orillia,VERMICELLI,,,$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044379378_1729587107.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-shrimp-on-vermicelli_0f8cbe9c-57eb-4321-9851-0636163de9ca
118,Grilled Pork and Shrimp on Sugar Cane on Vermicelli,VM02C,Orillia,VERMICELLI,,"Flavorful grilled pork and juicy Vietnamese shrimp on sugar cane, served over vermicelli rice noodles with fresh herbs, Vietnamese pickled daikon and carrots, crisp lettuce, and a side of fish sauce.",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044379376_1729797722.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-and-shrimp-on-sugar-cane-on-vermicelli_f3ff2e7c-db2c-4274-a6f9-f1c6d38d9ef5
119,Grilled Pork and Spring Roll on Vermicelli,VM02B,Orillia,VERMICELLI,,"Juicy grilled pork and a crispy spring roll on a bed of vermicelli rice noodles, served with fresh herbs, Vietnamese pickled daikon and carrots, crisp lettuce, and a side of fish sauce.",$18.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044379374_1729797701.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-and-spring-roll-on-vermicelli_4d57bdd2-c4b0-4639-83aa-661f2dc21a79
120,Grilled Pork on Vermicelli,VM02A,Orillia,VERMICELLI,,"Indulge in perfectly grilled pork, marinated with garlic, shallots, and lemongrass. Served on vermicelli noodles with crisp cucumbers, fresh herbs, pickled carrot & daikon, peanuts, and flavorful fish sauce",$18.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044379372_1729587041.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-on-vermicelli_9a0d0258-459b-4ae1-b572-db8bcd7f45bf
121,Grilled Chicken and Shrimp on Sugar Cane on Vermicelli,VM01C,Orillia,VERMICELLI,,"Tender grilled chicken and juicy Vietnamese sugar cane shrimp on vermicelli rice noodles, served with fresh herbs, Vietnamese pickled daikon and carrots, crisp lettuce, and a side of fish sauce.",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/0/item-1300000000044379370_1729587022.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-chicken-and-shrimp-on-sugar-cane-on-vermicelli_bb133560-38a3-4fba-9663-6d68fb2d7990
122,Grilled Chicken and Spring Roll on Vermicelli,VM01B,Orillia,VERMICELLI,,"Tender, marinated grilled chicken on vermicelli rice noodles, served with a crispy spring roll, fresh herbs, Vietnamese pickled daikon and carrots, crisp lettuce, and a side of fish sauce.",$18.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044379368_1729586997.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-chicken-and-spring-roll-on-vermicelli_828ddc87-43c0-48a1-a89b-5edce14ec534
