#,Menu_Item,SKU,Location,Category,Ingredients,Description,Price,Image,Order Online
25,Matcha Green Tea,317,Orillia,BUBBLE MILK TEAS,matcha powder / hot water / milk / sweetener.,,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044383514_1729588347.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-matcha-green-tea_c4a14f47-05db-44c6-9f80-78daadf96a90
26,Strawberry Milk Tea,304,Orillia,BUBBLE MILK TEAS, strawberries / ice / milk / sugar / vanilla extract,,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044383504_1729587637.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-strawberry-milk-tea_9b5f8495-7873-4930-814f-fda80069f7c2
27,Pearls Milk Tea,312,Orillia,BUBBLE MILK TEAS,milk / tapioca / sugar / pearls,,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044383518_1729588631.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-pearls-milk-tea_7ddb6fb3-39f3-440b-8fe1-2ef05f219ab3
28,Mango Milk Tea,303,Orillia,BUBBLE MILK TEAS,"mango, lime juice, mint, sugar syrup, crushed ice.",,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044383502_1729587460.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-mango-milk-tea_2e70d334-bf35-470b-8468-78b575a45a9e
29,Pineapple Milk Tea,310,Orillia,BUBBLE MILK TEAS,"pineapple juice, coconut milk, rum.",,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044383512_1729588212.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-pineapple-milk-tea_de7e5de2-c0cb-475b-9d11-2ade657a7a13
30,Brown Sugar MILK Tea,311,Orillia,BUBBLE MILK TEAS,sugar / tapioca,,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044383516_1729588500.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-brown-sugar-milk-tea_48cd812b-78c2-4144-9568-455802f31c3d
31,Watermelon Milk Tea,307,Orillia,BUBBLE MILK TEAS,"watermelon, mint leaves, feta cheese, balsamic glaze.",,$6.50 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/0/item-1300000000044383510_1729588092.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-watermelon-milk-tea_26670c16-27d8-46dd-8042-635f0be871d1
32,Seafood Symphony Egg Noodles,CB02,Orillia,CHICKEN/PORK BROTH NOODLE,,"Savor a bowl of springy noodles topped with shrimp, squid, and fishball in a rich, flavorful broth served with light, crispy shrimp cakes fried to golden perfection, with tender, juicy shrimp inside and a satisfying crunch in every bite",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/0/item-1300000000044374440_1729591930.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-seafood-symphony-egg-noodles_abe507f2-92b3-4afa-a39f-51cf9da71777
33,Shrimp & Sip Wonton Soup,CB06,Orillia,CHICKEN/PORK BROTH NOODLE,,"Enjoy plump, hand-crafted shrimp wontons in a flavorful clear broth, garnished with fresh scallions and greens for a comforting and delicious experience",$14.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044374448_1729591993.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-shrimp-sip-wonton-soup_4467c385-0a47-4b74-a9a0-abe49d4c7bdd
34,Shrimp Wonton Nest with Egg Noodles,CB05,Orillia,CHICKEN/PORK BROTH NOODLE,,"Delight in silky egg noodles topped with juicy pork and shrimp wontons, served in a rich broth with fresh herbs and crisp vegetables for a perfect flavor balance",$17.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044374446_1729591977.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-shrimp-wonton-nest-with-egg-noodles_1cea6381-f1ac-44fe-8641-b8ee5c156a46
